URL,Company,Headquarters,Sector,Subsector,Founded,Total Funding,Investors
https://forgeglobal.com/0x_stock/,Access 0x Stock and Financial Details - Forge,"San Francisco, CA, United States",Fintech,Other Fintech,2016,,"8 Decimal Capital, Zk Capital, Innovating Capital, James Sowers, Limitless Crypto Investments, Andreas Schwartz"
https://forgeglobal.com/100-thieves_stock/,Invest and Sell 100 Thieves Stock - Forge,"Los Angeles, CA, United States",Consumer & Lifestyle,Gaming,2017,,NA
https://forgeglobal.com/1047-games_stock/,Invest and Sell 1047 Games Stock - Forge,"Zephyr Cove, NV, United States",Consumer & Lifestyle,Gaming,2016,,NA
https://forgeglobal.com/10x-genomics-inc_stock/,"Access 10x Genomics, Inc. Stock and Financial Details - Forge","Pleasanton, CA, United States",Healthcare,Biotech & Pharma,2012,,NA
https://forgeglobal.com/11x_stock/,Invest and Sell 11x Stock - Forge,"San Francisco, CA, United States",Enterprise Software,Communication & Collaboration Software,2022,,NA
https://forgeglobal.com/128-technology_stock/,Access 128 Technology Stock and Financial Details - Forge,"Burlington, MA, United States",Enterprise Software,Cloud /​ Networking Infrastructure,2014,,NA
https://forgeglobal.com/1366-technologies_stock/,Access 1366 Technologies Stock and Financial Details - Forge,"Bedford, MA, United States",Technology Hardware,Computing Hardware,2008,,NA
https://forgeglobal.com/15five_stock/,Invest and Sell 15Five Stock - Forge,"San Francisco, CA, United States",Enterprise Software,Other Enterprise Software,2011,,NA
https://forgeglobal.com/1kosmos_stock/,Invest and Sell 1Kosmos Stock - Forge,"Iselin, NJ, United States",Enterprise Software,Cloud /​ Networking Infrastructure,2017,,NA
https://forgeglobal.com/1life-healthcare_stock/,Access 1Life Healthcare Stock and Financial Details - Forge,"San Francisco, CA, United States",Healthcare,Other Healthcare,2002,,NA
https://forgeglobal.com/1more_stock/,Invest and Sell 1MORE Stock - Forge,"Shenzhen, China",Consumer & Lifestyle,Consumer Electronics,2015,,"Idg Capital, Temasek Holdings, Shunwei Capital"
https://forgeglobal.com/1password_stock/,Invest and Sell 1Password Stock - Forge,"Toronto, Canada",Enterprise Software,Cybersecurity,2005,NA,"Accel, Slack Fund, Wndrco"
https://forgeglobal.com/1qbit_stock/,Invest and Sell 1QBit Stock - Forge,"Vancouver, Canada",Enterprise Software,Productivity,2012,,NA
